subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,3,0.213129,-117.622484
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,4,0.284172,12.634833
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,5,0.355215,-81.533692
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_115.wav,0,True,5889,6,0.426259,-72.293995
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,0,0.0,-112.052653
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,1,0.071043,-21.378049
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,2,0.142086,71.39595
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,3,0.213129,66.817796
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,4,0.284172,25.20335
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,5,0.355215,-37.010641
Auregan,11,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_178.wav,1,False,5889,6,0.426259,88.032365
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,0,0.0,-0.845919
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,1,0.071043,-101.665398
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,2,0.142086,-128.909269
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,3,0.213129,-98.956601
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,4,0.284172,-120.69302
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,5,0.355215,-126.286795
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_150.wav,0,False,2591,6,0.426259,121.368949
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,0,0.0,20.081065
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,1,0.071043,100.844988
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,2,0.142086,-34.199178
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,3,0.213129,-3.979999
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,4,0.284172,-132.448085
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,5,0.355215,-95.704719
Auregan,12,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_120.wav,1,True,2591,6,0.426259,-2.125632
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,0,0.0,23.45052
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,1,0.071043,102.584681
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,2,0.142086,38.2243
Auregan,13,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_126.wav,0,True,1338,3,0.213129,-16.427695
